n,state
0,2.000000
1,2.378414
2,2.828427
3,2.828427
4,4.000000
5,4.000000
6,4.000000
7,4.000000
8,5.656854
9,5.656854
10,6.727171
11,6.727171
12,9.513657
13,9.513657
14,11.313708
15,11.313708
16,13.454343
17,19.027314
18,22.627417
19,22.627417
20,22.627417
21,22.627417
22,22.627417
23,22.627417
24,22.627417
25,22.627417
26,22.627417
27,22.627417
28,22.627417
29,26.908685
30,26.908685
31,26.908685
32,32.000000
33,38.054628
34,38.054628
35,38.054628
36,38.054628
37,38.054628
38,45.254834
39,45.254834
40,45.254834
41,45.254834
42,45.254834
43,45.254834
44,45.254834
45,45.254834
46,45.254834
47,45.254834
48,45.254834
49,45.254834
50,45.254834
51,45.254834
52,45.254834
53,45.254834
54,45.254834
55,45.254834
56,45.254834
57,45.254834
58,45.254834
59,45.254834
60,45.254834
61,45.254834
62,45.254834
63,45.254834
64,45.254834
65,45.254834
66,45.254834
67,45.254834
68,45.254834
69,53.817371
70,53.817371
71,53.817371
72,53.817371
73,53.817371
74,53.817371
75,53.817371
76,53.817371
77,53.817371
78,64.000000
79,64.000000
80,64.000000
81,64.000000
82,64.000000
83,64.000000
84,64.000000
85,76.109255
86,76.109255
87,76.109255
88,76.109255
89,76.109255
90,76.109255
91,76.109255
92,76.109255
93,76.109255
94,76.109255
95,76.109255
96,90.509668
97,90.509668
98,90.509668
99,90.509668
100,90.509668
101,90.509668
102,90.509668
103,90.509668
104,90.509668
105,90.509668
106,90.509668
107,90.509668
108,90.509668
109,90.509668
110,90.509668
111,90.509668
112,90.509668
113,90.509668
114,90.509668
115,90.509668
116,90.509668
117,90.509668
118,90.509668
119,90.509668
120,90.509668
121,90.509668
122,90.509668
123,90.509668
124,90.509668
125,90.509668
126,90.509668
127,107.634741
128,107.634741
129,107.634741
130,107.634741
131,107.634741
132,107.634741
133,107.634741
134,107.634741
135,107.634741
136,107.634741
137,107.634741
138,107.634741
139,107.634741
140,107.634741
141,107.634741
142,107.634741
143,128.000000
144,128.000000
145,128.000000
146,128.000000
147,128.000000
148,128.000000
149,128.000000
150,128.000000
151,128.000000
152,128.000000
153,128.000000
154,128.000000
155,128.000000
156,128.000000
157,128.000000
158,128.000000
159,128.000000
160,128.000000
161,128.000000
162,152.218511
163,152.218511
164,152.218511
165,152.218511
166,152.218511
167,152.218511
168,152.218511
169,152.218511
170,152.218511
171,152.218511
172,152.218511
173,152.218511
174,152.218511
175,152.218511
176,152.218511
177,152.218511
178,152.218511
179,152.218511
180,152.218511
181,152.218511
182,152.218511
183,152.218511
184,152.218511
185,152.218511
186,152.218511
187,152.218511
188,152.218511
189,181.019336
190,181.019336
191,181.019336
192,181.019336
193,215.269482
194,215.269482
195,215.269482
196,215.269482
197,215.269482
198,215.269482
199,215.269482
200,215.269482
201,215.269482
202,215.269482
203,215.269482
204,215.269482
205,256.000000
206,256.000000
207,256.000000
208,256.000000
209,256.000000
210,256.000000
211,256.000000
212,256.000000
213,256.000000
214,256.000000
215,256.000000
216,256.000000
217,304.437021
218,304.437021
219,304.437021
220,304.437021
221,304.437021
222,304.437021
223,304.437021
224,304.437021
225,304.437021
226,304.437021
227,304.437021
228,304.437021
229,304.437021
230,304.437021
231,304.437021
232,304.437021
233,304.437021
234,304.437021
235,304.437021
236,304.437021
237,304.437021
238,304.437021
239,304.437021
240,304.437021
241,304.437021
242,304.437021
243,304.437021
244,304.437021
245,304.437021
246,304.437021
247,304.437021
248,304.437021
249,304.437021
250,304.437021
251,304.437021
252,304.437021
253,304.437021
254,304.437021
255,304.437021
256,304.437021
257,304.437021
258,304.437021
259,304.437021
260,304.437021
261,304.437021
262,304.437021
263,304.437021
264,304.437021
265,304.437021
266,304.437021
267,304.437021
268,304.437021
269,304.437021
270,304.437021
271,304.437021
272,304.437021
273,304.437021
274,304.437021
275,304.437021
276,304.437021
277,304.437021
278,304.437021
279,304.437021
280,304.437021
281,304.437021
282,304.437021
283,304.437021
284,304.437021
285,304.437021
286,304.437021
287,304.437021
288,304.437021
289,304.437021
290,304.437021
291,304.437021
292,304.437021
293,304.437021
294,304.437021
295,304.437021
296,304.437021
297,304.437021
298,304.437021
299,304.437021
300,304.437021
301,304.437021
302,304.437021
303,304.437021
304,362.038672
305,362.038672
306,362.038672
307,362.038672
308,362.038672
309,362.038672
310,362.038672
311,362.038672
312,362.038672
313,362.038672
314,362.038672
315,362.038672
316,362.038672
